@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R3-25,27-76,78-87,89-96,98-151,153-162,164-167,169-186'

@attribute color_bgr_b_mean numeric
@attribute color_bgr_g_mean numeric
@attribute color_lab_a_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_b_contrast numeric
@attribute haralick_luv_uv_contrast numeric
@attribute lbph_bgr_g_entropy numeric
@attribute lbph_bgr_r_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.699501,-0.66082,0.692604,-0.914489,-0.662651,-0.916997,-0.676898,0.846459,-0.024096,ULCER
-0.859516,-0.818663,0.431391,-0.895874,-0.710843,-0.982869,-0.660132,0.7714,0.17441,ULCER
-0.719034,-0.656243,0.795814,-0.910181,-0.590361,-0.919943,-0.729795,0.846139,0.009983,ULCER
-0.85751,-0.825748,0.484941,-0.852395,-0.759036,-0.967015,-0.671353,0.754839,0.497897,ULCER
-0.741795,-0.655651,0.778115,-0.856944,-0.751004,-0.897723,-0.634695,0.819346,0.195338,ULCER
0.24549,0.329303,-0.150864,-0.99644,-0.421687,-0.886602,-0.826347,0.781967,0.201233,NON_ULCER
0.156653,0.278234,-0.128676,-0.998902,-0.437751,-0.9832,-0.925628,0.833333,0.069126,NON_ULCER
0.050026,0.103516,-0.034284,-0.992716,-0.429719,-0.897803,-0.838449,0.813686,0.341511,NON_ULCER
0.265777,0.325054,-0.256438,-0.994674,-0.39759,-0.903557,-0.825379,0.629562,-0.010804,NON_ULCER
-0.12146,-0.065398,-0.006071,-0.976188,-0.429719,-0.937505,-0.799987,0.298685,-0.28098,NON_ULCER
-0.250715,-0.230228,0.066715,-0.996996,-0.453815,-0.974513,-0.9284,0.659879,0.412159,NON_ULCER
0.063505,0.141135,-0.001564,-0.991963,-0.445783,-0.895727,-0.78608,0.85062,0.32058,NON_ULCER
0.087305,0.214763,-0.093809,-0.997068,-0.453815,-0.958896,-0.888133,0.855239,0.262541,NON_ULCER
-0.059254,-0.003823,0.042255,-0.997701,-0.445783,-0.89547,-0.89029,0.888473,0.396185,NON_ULCER
-0.776262,-0.675269,-0.055113,-0.949129,-0.606426,-0.956352,-0.897595,0.557267,0.226355,NON_ULCER
-0.31348,-0.284316,0.068003,-0.997578,-0.46988,-0.970846,-0.925716,0.76877,0.372453,NON_ULCER
-0.815923,-0.724574,-0.168439,-0.976278,-0.614458,-0.975152,-0.921139,0.782836,0.043351,NON_ULCER
-0.740793,-0.655857,-0.113776,-0.988823,-0.558233,-0.985041,-0.92598,0.797472,0.111116,NON_ULCER
0.172691,0.273482,-0.149072,-0.996276,-0.429719,-0.93264,-0.838317,0.861709,0.196456,NON_ULCER
-0.5232,-0.426169,0.008905,-0.990169,-0.526104,-0.990132,-0.919555,0.803924,0.476782,NON_ULCER
-0.523916,-0.521955,0.282568,-0.958437,-0.502008,-0.966444,-0.849363,0.609757,0.251662,NON_ULCER
-0.426889,-0.319294,0.032771,-0.989179,-0.518072,-0.975221,-0.934077,0.174075,-0.251509,NON_ULCER
0.079973,0.198375,-0.117973,-0.996657,-0.453815,-0.970236,-0.894074,0.793877,0.193167,NON_ULCER
-0.277321,-0.189778,0.109659,-0.993863,-0.493976,-0.988564,-0.923075,0.754378,0.21561,NON_ULCER
-0.067114,-0.01341,0.035235,-0.993697,-0.445783,-0.958531,-0.917574,0.747316,0.21887,NON_ULCER
0.055623,0.163119,-0.075057,-0.994367,-0.445783,-0.880432,-0.760864,0.796787,0.328498,NON_ULCER
-0.508515,-0.441496,0.075331,-0.98456,-0.518072,-0.954942,-0.880124,0.768988,0.301112,NON_ULCER
-0.686712,-0.5808,-0.112944,-0.991564,-0.566265,-0.97567,-0.921887,0.789827,0.120081,NON_ULCER
-0.060617,-0.038609,0.040361,-0.991102,-0.453815,-0.935412,-0.818558,0.7769,0.311224,NON_ULCER
-0.613011,-0.475459,-0.059241,-0.995219,-0.558233,-0.981848,-0.930468,0.70611,0.117199,NON_ULCER
-0.792593,-0.707085,0.364541,-0.890133,-0.654618,-0.969215,-0.891698,0.613083,0.281229,NON_ULCER
-0.488535,-0.407566,0.093346,-0.963161,-0.51004,-0.97784,-0.889278,0.834661,0.237094,NON_ULCER
-0.686796,-0.580219,-0.076625,-0.991686,-0.518072,-0.97497,-0.933461,0.773167,0.283778,NON_ULCER
-0.274569,-0.199295,0.184183,-0.98458,-0.502008,-0.989184,-0.924131,0.756344,0.218613,NON_ULCER
-0.409014,-0.372485,0.202894,-0.982933,-0.502008,-0.977806,-0.890378,0.773332,-0.121795,NON_ULCER
-0.5877,-0.455255,-0.056351,-0.994451,-0.558233,-0.972516,-0.93971,0.760941,0.154715,NON_ULCER
-0.458649,-0.324413,-0.006953,-0.996291,-0.534137,-0.987469,-0.945035,0.743984,0.067302,NON_ULCER
-0.574491,-0.451742,-0.0779,-0.995446,-0.502008,-0.97882,-0.946355,0.688614,0.077682,NON_ULCER
-0.466599,-0.410597,0.236679,-0.951702,-0.518072,-0.966931,-0.809668,0.758526,0.495184,NON_ULCER
-0.207336,-0.110975,0.17172,-0.997234,-0.493976,-0.992261,-0.949084,0.666301,0.044183,NON_ULCER
-0.354034,-0.216404,-0.006751,-0.996958,-0.518072,-0.984574,-0.921359,0.783449,0.302632,NON_ULCER
-0.381917,-0.280635,0.076325,-0.988337,-0.518072,-0.983595,-0.876692,0.766151,-0.103795,NON_ULCER
-0.417265,-0.290963,-0.02286,-0.998438,-0.518072,-0.9803,-0.952076,0.779182,0.213994,NON_ULCER
-0.088304,-0.009919,0.174775,-0.985277,-0.477912,-0.991081,-0.910137,0.596343,0.098379,NON_ULCER
-0.278407,-0.230281,0.178081,-0.983135,-0.493976,-0.903118,-0.742601,0.802303,0.106598,NON_ULCER
0.076496,0.037121,0.094101,-0.987531,-0.39759,-0.755432,-0.478249,0.714825,0.081955,NON_ULCER
-0.326623,-0.222207,0.004007,-0.997148,-0.493976,-0.978152,-0.956081,0.895398,0.278653,NON_ULCER
-0.271416,-0.151205,0.025747,-0.996628,-0.502008,-0.982672,-0.906572,0.860598,0.179743,NON_ULCER
-0.067143,0.031115,0.102869,-0.993533,-0.477912,-0.984029,-0.917178,0.760284,0.214891,NON_ULCER
-0.251879,-0.144582,0.012917,-0.99894,-0.485944,-0.977251,-0.980417,0.811318,0.351632,NON_ULCER
-0.124273,-0.031242,0.001476,-0.998152,-0.453815,-0.949643,-0.868286,0.789365,0.134083,NON_ULCER
0.165907,0.198537,-0.122477,-0.995159,-0.405622,-0.895446,-0.783088,0.666621,-0.049044,NON_ULCER
0.028284,0.089095,0.055264,-0.989955,-0.445783,-0.979904,-0.89271,0.643991,0.286404,NON_ULCER
0.024828,0.14006,0.007822,-0.99826,-0.461847,-0.992588,-0.940106,0.72407,-0.012037,NON_ULCER
-0.126563,-0.137863,0.120187,-0.984429,-0.453815,-0.952985,-0.820978,0.620362,0.385843,NON_ULCER
-0.087392,-0.002546,-0.030881,-0.997927,-0.453815,-0.924472,-0.863973,0.818363,0.228268,NON_ULCER
0.016614,0.027886,-0.039358,-0.989455,-0.405622,-0.845643,-0.813937,0.492561,-0.291717,NON_ULCER
0.101767,0.086949,-0.041243,-0.993932,-0.389558,-0.88186,-0.821022,0.804839,0.244158,NON_ULCER
0.217385,0.256006,-0.192194,-0.996911,-0.405622,-0.917577,-0.823707,0.713396,0.076996,NON_ULCER
0.067052,0.171034,-0.013185,-0.99795,-0.453815,-0.987737,-0.909213,0.725242,0.07113,NON_ULCER
-0.186974,-0.193748,0.035621,-0.992855,-0.437751,-0.947609,-0.90622,0.627244,0.428388,NON_ULCER
0.165389,0.219935,-0.055197,-0.994909,-0.429719,-0.949442,-0.841486,0.783366,0.19523,NON_ULCER
0.035686,0.044757,-0.015068,-0.986021,-0.413655,-0.6906,-0.828195,0.626969,0.050391,ULCER
-0.135202,-0.063254,-0.115945,-0.991566,-0.437751,-0.75756,-0.878804,0.74154,0.254116,ULCER
0.066255,0.053699,-0.246339,-0.992097,-0.365462,-0.718047,-0.889454,0.811984,0.137184,ULCER
-0.189043,-0.151563,-0.184309,-0.993975,-0.381526,-0.887587,-0.921139,0.625829,0.001544,ULCER
-0.200992,-0.201636,-0.176973,-0.989998,-0.39759,-0.644251,-0.885669,0.831763,0.401385,ULCER
-0.351593,-0.363525,0.09174,-0.974751,-0.445783,-0.879464,-0.883381,0.654934,0.202422,ULCER
-0.089919,-0.102238,-0.30908,-0.997452,-0.381526,-0.792122,-0.928708,0.792426,0.054005,ULCER
-0.218885,-0.203032,0.131634,-0.973183,-0.477912,-0.849362,-0.823751,0.720546,0.287635,ULCER
-0.244092,-0.220452,0.02415,-0.99049,-0.453815,-0.891049,-0.894426,0.793939,0.058753,ULCER
0.208015,0.193795,-0.314795,-0.99721,-0.35743,-0.830036,-0.907893,0.82963,-0.012903,ULCER
0.143264,0.173509,-0.1852,-0.993371,-0.39759,-0.744083,-0.860937,0.761515,0.076461,ULCER
-0.213753,-0.214309,-0.007434,-0.987994,-0.429719,-0.907307,-0.936894,0.696785,0.324271,ULCER
-0.356203,-0.352627,-0.111958,-0.990349,-0.429719,-0.839313,-0.904548,0.842968,0.376076,ULCER
-0.216557,-0.230795,-0.259694,-0.994983,-0.381526,-0.718868,-0.929852,0.731959,0.0837,ULCER
-0.078111,-0.059783,-0.016168,-0.990016,-0.429719,-0.800968,-0.910577,0.787706,0.249717,ULCER
0.143363,0.149716,-0.200984,-0.997385,-0.381526,-0.717828,-0.911589,0.745758,0.086144,ULCER
-0.264302,-0.240242,-0.029991,-0.97977,-0.46988,-0.821983,-0.871543,0.81902,0.228891,ULCER
-0.011648,0.010992,-0.170984,-0.995702,-0.39759,-0.734788,-0.881532,0.699395,0.105422,ULCER
-0.18628,-0.19205,0.077484,-0.986309,-0.437751,-0.929597,-0.917662,0.700825,0.206988,ULCER
-0.261086,-0.24063,-0.021825,-0.990503,-0.421687,-0.77851,-0.897243,0.803564,0.280259,ULCER
-0.134201,-0.116254,0.05496,-0.991825,-0.437751,-0.920473,-0.913966,0.785877,0.161886,ULCER
-0.233768,-0.211078,0.16989,-0.974301,-0.46988,-0.927276,-0.831364,0.780857,0.432308,ULCER
-0.234369,-0.201655,-0.062187,-0.978832,-0.429719,-0.743385,-0.803419,0.742709,0.315351,ULCER
-0.341663,-0.308563,-0.004587,-0.975811,-0.405622,-0.773583,-0.826567,0.727035,0.266463,ULCER
0.151012,0.176752,-0.040707,-0.99222,-0.413655,-0.625858,-0.851563,0.769312,0.296987,ULCER
0.03997,0.03442,0.050327,-0.99044,-0.405622,-0.786682,-0.941646,0.487711,-0.547426,ULCER
-0.237399,-0.254218,0.226393,-0.988354,-0.453815,-0.917415,-0.903008,0.787733,0.092663,ULCER
-0.38418,-0.320244,-0.021814,-0.978681,-0.485944,-0.803506,-0.803771,0.824451,0.198784,ULCER
-0.365842,-0.374686,-0.164232,-0.97539,-0.39759,-0.515017,-0.839901,0.811971,0.491555,ULCER
-0.201065,-0.213155,0.239254,-0.985243,-0.437751,-0.919668,-0.868198,0.748321,0.312962,ULCER
0.129546,0.12941,-0.296221,-0.995593,-0.373494,-0.850842,-0.935925,0.754192,-0.233214,ULCER
-0.014366,-0.026571,-0.349135,-0.995077,-0.365462,-0.791821,-0.920919,0.827216,0.097632,ULCER
-0.535427,-0.616026,0.440721,-0.990756,-0.502008,-0.995853,-0.952868,0.673315,0.244612,NON_ULCER
-0.287926,-0.316406,0.302924,-0.953586,-0.429719,-0.805471,-0.603978,0.513703,0.135777,NON_ULCER
-0.489661,-0.555509,0.459412,-0.993236,-0.493976,-0.996417,-0.950404,0.609508,0.190933,NON_ULCER
-0.515925,-0.556176,0.461467,-0.989199,-0.51004,-0.988501,-0.942835,0.594387,-0.08668,NON_ULCER
-0.459115,-0.524876,0.391438,-0.989481,-0.485944,-0.992631,-0.942879,0.523864,0.126205,NON_ULCER
0.88954,0.86946,-0.497416,-0.998196,-0.341365,-0.9482,-0.870134,0.408777,-0.127955,NON_ULCER
-0.223269,-0.223614,0.22723,-0.991742,-0.453815,-0.981941,-0.920083,0.596789,0.248059,NON_ULCER
